Date,Description,Amount,Transaction_Type,Category,Account_Name,Seasons
4/1/2018,Grocery Store,80.79,debit,Groceries,Platinum Card,Spring
4/1/2018,Brewing Company,59.48,debit,Restaurants,Platinum Card,Spring
4/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Spring
4/2/2018,Grocery Store,82.36,debit,Groceries,Platinum Card,Spring
4/2/2018,Hardware Store,13.89,debit,Home Improvement,Platinum Card,Spring
4/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Spring
4/3/2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,Spring
4/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Spring
4/6/2018,Chevron,4.58,debit,Gas & Fuel,Platinum Card,Spring
4/6/2018,Tiny Deli,9.76,debit,Restaurants,Platinum Card,Spring
4/8/2018,Irish Pub,22.0,debit,Restaurants,Platinum Card,Spring
4/9/2018,Blue Sky Market,6.48,debit,Groceries,Silver Card,Spring
4/9/2018,Spotify,10.69,debit,Music,Platinum Card,Spring
4/9/2018,Gas Company,30.0,debit,Utilities,Checking,Spring
4/11/2018,Phone Company,89.52,debit,Mobile Phone,Checking,Spring
4/12/2018,Starbucks,7.0,debit,Coffee Shops,Platinum Card,Spring
4/12/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Spring
4/13/2018,BP,37.98,debit,Gas & Fuel,Platinum Card,Spring
4/13/2018,American Tavern,10.66,debit,Restaurants,Platinum Card,Spring
4/14/2018,Hardware Store,11.61,debit,Home Improvement,Platinum Card,Spring
4/14/2018,American Tavern,41.0,debit,Restaurants,Platinum Card,Spring
4/16/2018,State Farm,75.0,debit,Auto Insurance,Checking,Spring
4/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Spring
4/18/2018,Power Company,60.0,debit,Utilities,Checking,Spring
4/20/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card,Spring
4/21/2018,Grocery Store,4.32,debit,Groceries,Silver Card,Spring
4/21/2018,American Tavern,35.15,debit,Restaurants,Silver Card,Spring
4/22/2018,Grocery Store,21.32,debit,Groceries,Platinum Card,Spring
4/23/2018,Hardware Store,42.7,debit,Home Improvement,Silver Card,Spring
4/24/2018,Hardware Store,224.7,debit,Home Improvement,Platinum Card,Spring
4/24/2018,Amazon,41.34,debit,Shopping,Platinum Card,Spring
4/25/2018,Hardware Store,210.79,debit,Home Improvement,Silver Card,Spring
4/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Spring
4/28/2018,Grocery Store,22.98,debit,Groceries,Silver Card,Spring
4/29/2018,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card,Spring
4/29/2018,Grocery Store,51.05,debit,Groceries,Platinum Card,Spring
4/29/2018,Hardware Store,68.47,debit,Home Improvement,Platinum Card,Spring
4/30/2018,Grocery Store,5.09,debit,Groceries,Platinum Card,Spring
5/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Spring
5/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Spring
5/3/2018,Amazon,49.72,debit,Shopping,Platinum Card,Spring
5/4/2018,Grocery Store,42.23,debit,Groceries,Platinum Card,Spring
5/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Spring
5/5/2018,Bojangles,7.27,debit,Fast Food,Platinum Card,Spring
5/5/2018,Pizza Place,20.52,debit,Fast Food,Platinum Card,Spring
5/6/2018,Hardware Store,22.37,debit,Home Improvement,Platinum Card,Spring
5/6/2018,Amazon,117.69,debit,Shopping,Platinum Card,Spring
5/9/2018,Spotify,10.69,debit,Music,Platinum Card,Spring
5/9/2018,Gas Company,30.0,debit,Utilities,Checking,Spring
5/10/2018,Phone Company,111.18,debit,Mobile Phone,Checking,Spring
5/11/2018,Grocery Store,57.32,debit,Groceries,Platinum Card,Spring
5/11/2018,Mike's Construction Co.,8000.0,debit,Home Improvement,Checking,Spring
5/12/2018,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,Spring
5/12/2018,Shell,33.3,debit,Gas & Fuel,Platinum Card,Spring
5/12/2018,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card,Spring
5/14/2018,Grocery Store,67.63,debit,Groceries,Silver Card,Spring
5/15/2018,Power Company,60.0,debit,Utilities,Checking,Spring
5/17/2018,Barbershop,29.0,debit,Haircut,Silver Card,Spring
5/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Spring
5/18/2018,State Farm,75.0,debit,Auto Insurance,Checking,Spring
5/18/2018,Amazon,6.41,debit,Shopping,Platinum Card,Spring
5/19/2018,Grocery Store,31.0,debit,Groceries,Silver Card,Spring
5/19/2018,Greek Restaurant,23.26,debit,Restaurants,Silver Card,Spring
5/21/2018,Thai Restaurant,26.04,debit,Restaurants,Silver Card,Spring
5/21/2018,Amazon,32.5,debit,Shopping,Platinum Card,Spring
5/24/2018,BP,39.44,debit,Gas & Fuel,Silver Card,Spring
5/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Spring
5/28/2018,Movie Theater,9.62,debit,Entertainment,Silver Card,Spring
5/28/2018,Grocery Store,91.03,debit,Groceries,Silver Card,Spring
5/29/2018,Movie Theater,20.0,debit,Movies & DVDs,Silver Card,Spring
5/29/2018,Movie Theater,6.25,debit,Movies & DVDs,Silver Card,Spring
6/1/2018,BP,38.63,debit,Gas & Fuel,Platinum Card,Spring
6/1/2018,Grocery Store,6.11,debit,Groceries,Platinum Card,Spring
6/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Spring
6/3/2018,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,Spring
6/4/2018,Grocery Store,24.12,debit,Groceries,Platinum Card,Spring
6/4/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Spring
6/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Spring
6/6/2018,Starbucks,4.0,debit,Coffee Shops,Platinum Card,Spring
6/8/2018,Gas Company,30.0,debit,Utilities,Checking,Spring
6/9/2018,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,Spring
6/9/2018,Grocery Store,9.56,debit,Groceries,Platinum Card,Spring
6/9/2018,Spotify,10.69,debit,Music,Platinum Card,Spring
6/10/2018,Grocery Store,46.01,debit,Groceries,Platinum Card,Spring
6/12/2018,Grocery Store,12.55,debit,Groceries,Platinum Card,Spring
6/12/2018,Phone Company,89.46,debit,Mobile Phone,Checking,Spring
6/14/2018,Grocery Store,7.02,debit,Groceries,Platinum Card,Spring
6/15/2018,Power Company,60.0,debit,Utilities,Checking,Spring
6/16/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Spring
6/16/2018,Pizza Place,22.66,debit,Fast Food,Platinum Card,Spring
6/16/2018,Grocery Store,13.9,debit,Groceries,Platinum Card,Spring
6/18/2018,City Water Charges,35.0,debit,Utilities,Checking,Spring
6/19/2018,Shell,38.52,debit,Gas & Fuel,Platinum Card,Spring
6/19/2018,Grocery Store,2.69,debit,Groceries,Platinum Card,Spring
6/20/2018,State Farm,75.0,debit,Auto Insurance,Checking,Spring
6/20/2018,Barbershop,30.0,debit,Haircut,Silver Card,Spring
6/23/2018,Brunch Restaurant,8.5,debit,Restaurants,Silver Card,Spring
6/23/2018,Amazon,74.97,debit,Shopping,Platinum Card,Spring
6/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Spring
6/26/2018,Grocery Store,9.62,debit,Groceries,Silver Card,Spring
6/27/2018,Starbucks,3.5,debit,Coffee Shops,Silver Card,Spring
6/27/2018,Pizza Place,22.66,debit,Fast Food,Platinum Card,Spring
6/28/2018,Grocery Store,7.57,debit,Groceries,Silver Card,Spring
7/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Summer
7/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Summer
7/2/2018,Movie Theater,25.0,debit,Movies & DVDs,Silver Card,Summer
7/2/2018,American Tavern,36.44,debit,Restaurants,Silver Card,Summer
7/4/2018,BP,34.48,debit,Gas & Fuel,Silver Card,Summer
7/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Summer
7/5/2018,Grocery Store,44.25,debit,Groceries,Silver Card,Summer
7/5/2018,Amazon,212.32,debit,Shopping,Platinum Card,Summer
7/6/2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,Summer
7/9/2018,Spotify,10.69,debit,Music,Platinum Card,Summer
7/10/2018,Grocery Store,5.39,debit,Groceries,Silver Card,Summer
7/10/2018,Gas Company,30.0,debit,Utilities,Checking,Summer
7/11/2018,Phone Company,89.46,debit,Mobile Phone,Checking,Summer
7/14/2018,Go Mart,33.51,debit,Gas & Fuel,Silver Card,Summer
7/15/2018,Circle K,36.24,debit,Gas & Fuel,Platinum Card,Summer
7/17/2018,Wendy's,15.23,debit,Fast Food,Silver Card,Summer
7/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Summer
7/17/2018,Power Company,60.0,debit,Utilities,Checking,Summer
7/18/2018,Irish Restaurant,28.54,debit,Alcohol & Bars,Platinum Card,Summer
7/18/2018,State Farm,75.0,debit,Auto Insurance,Checking,Summer
7/21/2018,Grocery Store,28.93,debit,Groceries,Platinum Card,Summer
7/21/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Summer
7/23/2018,Starbucks,9.58,debit,Fast Food,Platinum Card,Summer
7/24/2018,American Tavern,26.59,debit,Restaurants,Platinum Card,Summer
7/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Summer
7/26/2018,Conoco,33.67,debit,Gas & Fuel,Silver Card,Summer
7/28/2018,Grocery Store,7.61,debit,Groceries,Silver Card,Summer
7/30/2018,American Tavern,34.38,debit,Restaurants,Silver Card,Summer
7/31/2018,Brewing Company,6.6,debit,Alcohol & Bars,Silver Card,Summer
8/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Summer
8/2/2018,Shell,40.44,debit,Gas & Fuel,Silver Card,Summer
8/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Summer
8/3/2018,Grocery Store,6.27,debit,Groceries,Silver Card,Summer
8/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Summer
8/6/2018,Amazon,76.47,debit,Shopping,Platinum Card,Summer
8/9/2018,Spotify,10.69,debit,Music,Platinum Card,Summer
8/9/2018,Gas Company,30.0,debit,Utilities,Checking,Summer
8/10/2018,Phone Company,89.4,debit,Mobile Phone,Checking,Summer
8/11/2018,Chick-Fil-A,13.67,debit,Fast Food,Platinum Card,Summer
8/11/2018,Valero,33.66,debit,Gas & Fuel,Platinum Card,Summer
8/15/2018,Shell,41.07,debit,Gas & Fuel,Platinum Card,Summer
8/15/2018,Grocery Store,5.64,debit,Groceries,Platinum Card,Summer
8/15/2018,Power Company,60.0,debit,Utilities,Checking,Summer
8/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Summer
8/17/2018,Amazon,14.98,debit,Shopping,Platinum Card,Summer
8/18/2018,Amazon,23.47,debit,Shopping,Platinum Card,Summer
8/20/2018,State Farm,75.0,debit,Auto Insurance,Checking,Summer
8/24/2018,American Tavern,42.31,debit,Restaurants,Platinum Card,Summer
8/27/2018,Internet Service Provider,74.99,debit,Internet,Checking,Summer
8/30/2018,Shell,35.65,debit,Gas & Fuel,Platinum Card,Summer
8/31/2018,Grocery Store,11.64,debit,Groceries,Platinum Card,Summer
9/1/2018,Brewing Company,47.4,debit,Alcohol & Bars,Platinum Card,Summer
9/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Summer
9/2/2018,Amazon,109.83,debit,Shopping,Platinum Card,Summer
9/4/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Summer
9/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Summer
9/7/2018,Gas Company,30.0,debit,Utilities,Checking,Summer
9/9/2018,Brewing Company,18.0,debit,Alcohol & Bars,Platinum Card,Summer
9/9/2018,Spotify,10.69,debit,Music,Platinum Card,Summer
9/11/2018,BP,38.86,debit,Gas & Fuel,Platinum Card,Summer
9/11/2018,Grocery Store,7.87,debit,Groceries,Platinum Card,Summer
9/12/2018,Grocery Store,47.16,debit,Groceries,Platinum Card,Summer
9/12/2018,Phone Company,89.4,debit,Mobile Phone,Checking,Summer
9/13/2018,Grocery Store,5.64,debit,Groceries,Platinum Card,Summer
9/17/2018,Grocery Store,10.17,debit,Groceries,Platinum Card,Summer
9/17/2018,Grocery Store,8.8,debit,Groceries,Platinum Card,Summer
9/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Summer
9/18/2018,Grocery Store,4.32,debit,Groceries,Platinum Card,Summer
9/18/2018,Power Company,60.0,debit,Utilities,Checking,Summer
9/19/2018,State Farm,75.0,debit,Auto Insurance,Checking,Summer
9/19/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Summer
9/20/2018,Amazon,47.38,debit,Shopping,Platinum Card,Summer
9/22/2018,Hardware Store,69.4,debit,Home Improvement,Platinum Card,Summer
9/22/2018,Hardware Store,6.83,debit,Home Improvement,Platinum Card,Summer
9/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Summer
9/25/2018,Sushi Restaurant,48.64,debit,Restaurants,Silver Card,Summer
9/26/2018,Starbucks,5.0,debit,Coffee Shops,Platinum Card,Summer
9/26/2018,Exxon,38.0,debit,Gas & Fuel,Silver Card,Summer
9/27/2018,Valero,40.71,debit,Gas & Fuel,Platinum Card,Summer
9/28/2018,Grocery Store,13.36,debit,Groceries,Platinum Card,Summer
9/29/2018,Greek Restaurant,23.26,debit,Restaurants,Platinum Card,Summer
9/29/2018,German Restaurant,46.7,debit,Restaurants,Platinum Card,Summer
10/1/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Fall
10/1/2018,Grocery Store,15.66,debit,Groceries,Platinum Card,Fall
10/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Fall
10/2/2018,Mortgage Payment,1209.18,debit,Mortgage & Rent,Checking,Fall
10/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Fall
10/6/2018,American Tavern,27.0,debit,Restaurants,Silver Card,Fall
10/8/2018,Shell,38.06,debit,Gas & Fuel,Silver Card,Fall
10/8/2018,Hardware Store,80.65,debit,Home Improvement,Silver Card,Fall
10/8/2018,Hardware Store,31.2,debit,Home Improvement,Silver Card,Fall
10/9/2018,Spotify,10.69,debit,Music,Platinum Card,Fall
10/9/2018,Amazon,19.98,debit,Shopping,Platinum Card,Fall
10/9/2018,Gas Company,30.0,debit,Utilities,Checking,Fall
10/10/2018,Grocery Store,53.68,debit,Groceries,Silver Card,Fall
10/11/2018,Phone Company,89.4,debit,Mobile Phone,Checking,Fall
10/16/2018,Power Company,60.0,debit,Utilities,Checking,Fall
10/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Fall
10/18/2018,State Farm,75.0,debit,Auto Insurance,Checking,Fall
10/18/2018,Grocery Store,33.55,debit,Groceries,Platinum Card,Fall
10/18/2018,Hardware Store,45.24,debit,Home Improvement,Platinum Card,Fall
10/18/2018,Brunch Restaurant,8.0,debit,Restaurants,Platinum Card,Fall
10/22/2018,BP,34.66,debit,Gas & Fuel,Platinum Card,Fall
10/23/2018,Grocery Store,7.57,debit,Groceries,Platinum Card,Fall
10/25/2018,Internet Service Provider,74.99,debit,Internet,Checking,Fall
10/25/2018,Amazon,29.98,debit,Shopping,Platinum Card,Fall
10/27/2018,American Tavern,25.4,debit,Restaurants,Silver Card,Fall
10/28/2018,Brewing Company,12.71,debit,Alcohol & Bars,Platinum Card,Fall
10/28/2018,Seafood Restaurant,14.75,debit,Food & Dining,Platinum Card,Fall
10/28/2018,Grocery Store,92.49,debit,Groceries,Platinum Card,Fall
10/28/2018,Italian Restaurant,54.0,debit,Restaurants,Platinum Card,Fall
10/31/2018,Grocery Store,5.64,debit,Groceries,Platinum Card,Fall
11/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Fall
11/2/2018,Mortgage Payment,1209.18,debit,Mortgage & Rent,Checking,Fall
11/3/2018,Pizza Place,23.66,debit,Fast Food,Platinum Card,Fall
11/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Fall
11/5/2018,Shell,36.51,debit,Gas & Fuel,Platinum Card,Fall
11/6/2018,Amazon,53.95,debit,Shopping,Platinum Card,Fall
11/6/2018,Gas Company,30.0,debit,Utilities,Checking,Fall
11/8/2018,Grocery Store,5.64,debit,Groceries,Platinum Card,Fall
11/9/2018,Spotify,10.69,debit,Music,Platinum Card,Fall
11/10/2018,Brewing Company,27.0,debit,Alcohol & Bars,Platinum Card,Fall
11/10/2018,Chick-Fil-A,14.19,debit,Fast Food,Platinum Card,Fall
11/10/2018,Food Truck,24.4,debit,Groceries,Platinum Card,Fall
11/12/2018,Grocery Store,10.18,debit,Groceries,Platinum Card,Fall
11/12/2018,American Tavern,22.33,debit,Restaurants,Silver Card,Fall
11/13/2018,Grocery Store,4.8,debit,Groceries,Platinum Card,Fall
11/13/2018,Grocery Store,37.43,debit,Groceries,Platinum Card,Fall
11/13/2018,Grocery Store,10.15,debit,Groceries,Platinum Card,Fall
11/13/2018,Phone Company,89.54,debit,Mobile Phone,Checking,Fall
11/14/2018,Power Company,60.0,debit,Utilities,Checking,Fall
11/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Fall
11/17/2018,Brewing Company,22.8,debit,Alcohol & Bars,Platinum Card,Fall
11/17/2018,Hardware Store,15.47,debit,Home Improvement,Platinum Card,Fall
11/17/2018,Hardware Store,6.4,debit,Home Improvement,Platinum Card,Fall
11/17/2018,Greek Restaurant,23.26,debit,Restaurants,Platinum Card,Fall
11/19/2018,Brewing Company,20.0,debit,Alcohol & Bars,Silver Card,Fall
11/19/2018,QuikTrip,29.15,debit,Gas & Fuel,Silver Card,Fall
11/19/2018,Hardware Store,10.02,debit,Home Improvement,Silver Card,Fall
11/20/2018,State Farm,75.0,debit,Auto Insurance,Checking,Fall
11/21/2018,Grocery Store,5.64,debit,Groceries,Silver Card,Fall
11/21/2018,Hardware Store,37.41,debit,Home Improvement,Platinum Card,Fall
11/26/2018,American Tavern,16.8,debit,Alcohol & Bars,Silver Card,Fall
11/26/2018,Internet Service Provider,74.99,debit,Internet,Checking,Fall
11/27/2018,Movie Theater,17.0,debit,Movies & DVDs,Silver Card,Fall
11/27/2018,American Tavern,28.4,debit,Restaurants,Silver Card,Fall
11/30/2018,Grocery Store,6.27,debit,Groceries,Silver Card,Fall
12/1/2018,Grocery Store,5.64,debit,Groceries,Silver Card,Fall
12/1/2018,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,Fall
12/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Fall
12/3/2018,BP,30.03,debit,Gas & Fuel,Silver Card,Fall
12/3/2018,Grocery Store,148.15,debit,Groceries,Silver Card,Fall
12/3/2018,Mortgage Payment,1209.18,debit,Mortgage & Rent,Checking,Fall
12/4/2018,Starbucks,3.0,debit,Coffee Shops,Silver Card,Fall
12/4/2018,Latin Restaurant,20.65,debit,Fast Food,Platinum Card,Fall
12/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Fall
12/6/2018,Grocery Store,21.38,debit,Groceries,Platinum Card,Fall
12/6/2018,Grocery Store,13.48,debit,Groceries,Platinum Card,Fall
12/6/2018,Gas Company,40.0,debit,Utilities,Checking,Fall
12/7/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Fall
12/8/2018,Grocery Store,12.64,debit,Groceries,Platinum Card,Fall
12/9/2018,Spotify,10.69,debit,Music,Platinum Card,Fall
12/11/2018,Brunch Restaurant,10.29,debit,Restaurants,Platinum Card,Fall
12/12/2018,Phone Company,89.54,debit,Mobile Phone,Checking,Fall
12/13/2018,Thai Restaurant,27.0,debit,Restaurants,Silver Card,Fall
12/14/2018,Grocery Store,21.39,debit,Groceries,Silver Card,Fall
12/14/2018,Hardware Store,17.1,debit,Home Improvement,Silver Card,Fall
12/14/2018,Power Company,60.0,debit,Utilities,Checking,Fall
12/17/2018,American Tavern,63.0,debit,Food & Dining,Silver Card,Fall
12/17/2018,BP,20.01,debit,Gas & Fuel,Silver Card,Fall
12/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Fall
12/18/2018,Starbucks,3.0,debit,Coffee Shops,Silver Card,Fall
12/18/2018,Fancy Restaurant,56.52,debit,Restaurants,Silver Card,Fall
12/18/2018,Amazon,49.99,debit,Shopping,Platinum Card,Fall
12/18/2018,Amazon,41.72,debit,Shopping,Platinum Card,Fall
12/18/2018,Amazon,24.3,debit,Shopping,Platinum Card,Fall
12/19/2018,State Farm,75.0,debit,Auto Insurance,Checking,Fall
12/19/2018,Amazon,43.01,debit,Shopping,Platinum Card,Fall
12/20/2018,Shell,30.38,debit,Gas & Fuel,Silver Card,Fall
12/22/2018,New York Deli,21.38,debit,Fast Food,Platinum Card,Fall
12/22/2018,Hardware Store,22.14,debit,Home Improvement,Platinum Card,Fall
12/23/2018,Hardware Store,28.0,debit,Home Improvement,Platinum Card,Fall
12/24/2018,Hardware Store,38.4,debit,Home Improvement,Platinum Card,Fall
12/26/2018,Chick-Fil-A,56.07,debit,Fast Food,Platinum Card,Fall
12/26/2018,Shell,32.47,debit,Gas & Fuel,Platinum Card,Fall
12/26/2018,Shell,7.48,debit,Gas & Fuel,Platinum Card,Fall
12/26/2018,Internet Service Provider,75.99,debit,Internet,Checking,Fall
12/26/2018,Amazon,44.99,debit,Shopping,Platinum Card,Fall
